"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"_build_jql_from_params() produces correct JQL clauses for each param combination.","7","test_build_jql_from_params[params0-project = PROJ-None]","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_filter_handlers","",""
"","0","test_ai_trend_fallback_uses_action_labels_when_assisted_label_empty","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_metrics","",""
"","30","test_ai_usage_tools_canvas_present","tests.component","Tue Apr 28 13:34:54 UTC 2026","passed","Tue Apr 28 13:34:54 UTC 2026","","test_report_html","",""
"","0","test_is_done[done-True]","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_metrics","",""
"All three tab buttons are present in the tab bar.","118","test_all_three_tabs_visible[chromium]","tests.e2e","Tue Apr 28 13:35:36 UTC 2026","passed","Tue Apr 28 13:35:36 UTC 2026","","test_e2e_ui","",""
"Test Connection with unreachable Jira shows error after attempt (mocked — no real DNS).","329","test_test_connection_unreachable_server[chromium]","tests.e2e","Tue Apr 28 13:35:39 UTC 2026","passed","Tue Apr 28 13:35:39 UTC 2026","","test_e2e_ui","",""
"Badge shows 'Error' and mentions access denied for a 403 response.","341","test_badge_shows_error_on_403[chromium]","tests.e2e","Tue Apr 28 13:35:15 UTC 2026","passed","Tue Apr 28 13:35:15 UTC 2026","","test_e2e_connection","",""
"python main.py with empty env → exit 1, stderr contains error.","276","test_cli_no_credentials_via_subprocess","tests.integration","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_cli_server","",""
"Switching back to '— New filter —' unhides the name input and clears every param field.","199","test_new_filter_option_resets_form[chromium]","tests.e2e","Tue Apr 28 13:35:31 UTC 2026","passed","Tue Apr 28 13:35:32 UTC 2026","","test_e2e_filters","",""
"","0","test_save_schema_appends_new","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_schema","",""
"","30","test_project_key_shown_when_present","tests.component","Tue Apr 28 13:34:55 UTC 2026","passed","Tue Apr 28 13:34:55 UTC 2026","","test_report_html","",""
"","0","test_build_metrics_dict_report_name_defaults_to_none","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_metrics","",""
"POST with missing done_statuses returns 400.","1","test_post_schema_rejects_invalid_status_mapping","tests.component","Tue Apr 28 13:35:10 UTC 2026","passed","Tue Apr 28 13:35:10 UTC 2026","","test_server","",""
"Issues with resolutiondate are done regardless of status name (covers KANBAN custom statuses).","0","test_is_done_resolutiondate_fallback","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_metrics","",""
"","5","test_dau_responses_dir_env_var_overrides_default","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_dau_metrics","",""
"Submit button stays disabled with 2 of 3 fields and enables at 3 of 3.","99","test_submit_enabled_only_when_all_fields_are_valid[chromium]","tests.e2e","Tue Apr 28 13:35:07 UTC 2026","passed","Tue Apr 28 13:35:07 UTC 2026","","test_dau_survey_ui","",""
"A username stored in localStorage is pre-filled in the input on load.","50","test_username_restored_from_localstorage_on_page_load[chromium]","tests.e2e","Tue Apr 28 13:35:09 UTC 2026","passed","Tue Apr 28 13:35:09 UTC 2026","","test_dau_survey_ui","",""
"","1","test_md_table_header_row","tests.component","Tue Apr 28 13:34:55 UTC 2026","passed","Tue Apr 28 13:34:55 UTC 2026","","test_report_md","",""
"","7","test_run_defaults_host_to_loopback","tests.unit","Tue Apr 28 13:34:58 UTC 2026","passed","Tue Apr 28 13:34:58 UTC 2026","","test_server_handlers","",""
"GET /api/filters always includes the default filter, even after all user filters are removed.","3","test_get_filters_always_includes_default_after_user_delete","tests.component","Tue Apr 28 13:35:29 UTC 2026","passed","Tue Apr 28 13:35:29 UTC 2026","","test_server_filters","",""
"","29","test_ai_assistance_sprint_and_pct_present","tests.component","Tue Apr 28 13:34:54 UTC 2026","passed","Tue Apr 28 13:34:54 UTC 2026","","test_report_html","",""
"Invalid JSON surfaces a parse error in the log output and blocks the POST.","199","test_schema_invalid_json_shows_error[chromium]","tests.e2e","Tue Apr 28 13:35:35 UTC 2026","passed","Tue Apr 28 13:35:35 UTC 2026","","test_e2e_schema_ui","",""
"","0","test_timestamp_folder_name_empty_string","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_main_helpers","",""
"","1","test_fetch_cert_overwrites_existing","tests.integration","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_fetch_ssl_cert","",""
"","2","test_env_bool_values[YES-True]","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_config","",""
"","0","test_template_file_exists","tests.component","Tue Apr 28 13:34:54 UTC 2026","passed","Tue Apr 28 13:34:54 UTC 2026","","test_report_html","",""
"","1","test_empty_raw_dir_creates_normalized_dir_and_returns_zero","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_dau_normalizer","",""
"_load_filters() prepends the default entry at position 0 if the file has no is_default entry.","7","test_load_filters_injects_default_when_absent_from_file","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_filter_handlers","",""
"Output subdirectory mirrors the source subdirectory under normalized_dir.","1","test_nested_folder_structure_mirrored","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_dau_normalizer","",""
"_CLIENT_DISCONNECT must catch BrokenPipeError, ConnectionAbortedError, and ConnectionResetError.","7","test_client_disconnect_tuple_includes_all_error_types","tests.unit","Tue Apr 28 13:34:58 UTC 2026","passed","Tue Apr 28 13:34:58 UTC 2026","","test_server_handlers","",""
"","1","test_optional_fields_included_when_present","tests.component","Tue Apr 28 13:35:17 UTC 2026","passed","Tue Apr 28 13:35:17 UTC 2026","TestGetConfig","test_server_config","",""
"","1","test_test_connection_missing_fields","tests.component","Tue Apr 28 13:34:58 UTC 2026","passed","Tue Apr 28 13:34:58 UTC 2026","","test_server","",""
"Metric toggle state persists across page reloads via localStorage (RG-MT-005).","1085","test_metric_toggles_persist_in_localstorage[chromium]","tests.e2e","Tue Apr 28 13:35:56 UTC 2026","passed","Tue Apr 28 13:35:57 UTC 2026","","test_e2e_ui","",""
"","1","test_build_metrics_dict_generated_at_is_iso","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_metrics","",""
"","1","test_appends_missing_key","tests.component","Tue Apr 28 13:35:14 UTC 2026","passed","Tue Apr 28 13:35:14 UTC 2026","TestWriteEnvFields","test_server_config","",""
"Selecting a filter from #filter-name-select populates the form with its params.","199","test_selecting_existing_filter_loads_form[chromium]","tests.e2e","Tue Apr 28 13:35:31 UTC 2026","passed","Tue Apr 28 13:35:31 UTC 2026","","test_e2e_filters","",""
"POST with no top-level 'schema' returns 400.","1","test_post_schema_missing_schema_key","tests.component","Tue Apr 28 13:35:09 UTC 2026","passed","Tue Apr 28 13:35:09 UTC 2026","","test_server","",""
"","0","test_get_field_id","tests.unit","Tue Apr 28 13:34:57 UTC 2026","passed","Tue Apr 28 13:34:57 UTC 2026","","test_schema","",""
"","1","test_empty_dir_returns_zero_count","tests.unit","Tue Apr 28 13:34:56 UTC 2026","passed","Tue Apr 28 13:34:56 UTC 2026","","test_dau_metrics","",""
